,f_fixations,%_fixations,μ_t_fixations,σ_t_fixations,μ_vmax_fixations,σ_vmax_fixations,μ_v_fixations,f_pursuits,%_pursuits,μ_t_pursuits,σ_t_pursuits,μ_vmax_pursuits,σ_vmax_pursuits,μ_v_pursuits,f_saccades,%_saccades,μ_t_saccades,σ_t_saccades,μ_vmax_saccades,σ_vmax_saccades,μ_v_saccades,f_pso/glissades,%_pso/glissades,μ_t_pso/glissades,σ_t_pso/glissades,μ_vmax_pso/glissades,σ_vmax_pso/glissades,μ_v_pso/glissades,μ_openness,μ_diameter,bedford,bedford_enc,Subject,Mode
wrk\Subject_20_GVEH_0_rmexp.csv,1.8998100189981002,0.33043478260869563,0.09367543859649122,0.06994214346032854,88.98755263157895,140.52006002778444,25.27331135874146,1.4831850148318502,0.2579710144927536,0.4621685393258426,0.40955907329205143,101.76748314606745,159.6788312243394,11.983189993435928,1.8664800186648003,0.3246376811594203,0.028348214285714293,0.025049846670983752,144.8066517857143,137.78047782139257,119.42001606299212,0.4999500049995001,0.08695652173913043,0.023666666666666673,0.008692269873603532,66.91263333333332,48.940025972260734,41.39542957746477,0.9129401380345086,3.5653638154121863,4,1,20,GVEH
wrk\Subject_20_GVEH_1_rmexp.csv,1.9831350198313502,0.38636363636363635,0.2635882352941176,0.3880777322240305,38.371991596638665,80.27312502430684,6.118799215736284,1.0498950104989502,0.20454545454545456,0.36509523809523803,0.26255718737827566,39.24766666666667,98.98723556352067,6.640643276379291,1.6165050161650503,0.31493506493506496,0.02818556701030928,0.02733576257213522,80.13594845360825,91.51227763759366,51.67743891733723,0.48328500483285003,0.09415584415584416,0.0213448275862069,0.008836740942650455,23.660482758620688,18.480320632053324,13.333781906300482,0.9157951715845628,3.4235738042427277,4,1,20,GVEH
wrk\Subject_20_GVEH_2_rmexp.csv,2.0999300023332554,0.3888888888888889,0.21930952380952382,0.2690083041228929,59.44501587301587,119.91075039067063,8.76208164151558,1.0666311122962568,0.19753086419753085,0.410625,0.285638675821395,48.011046875,90.00911224503011,8.090399619482495,1.7499416686110463,0.32407407407407407,0.031266666666666665,0.028167954323905932,88.84295238095238,81.23348369007884,54.4521748400853,0.4833172227592413,0.08950617283950617,0.016379310344827588,0.008739185605170376,27.37986206896551,55.63075925627162,15.546050526315788,0.927194565105035,3.4875146317522505,4,1,20,GVEH
wrk\Subject_20_GVEH_3_rmexp.csv,2.332866759981337,0.38997214484679665,0.17342142857142856,0.23109654963911086,90.57871428571428,149.77554349942096,16.135855718934057,1.1164433779910685,0.18662952646239556,0.40395522388059696,0.32616278477809757,83.62398507462686,131.0997684629139,12.111974025494181,2.11624341798307,0.3537604456824513,0.03200787401574804,0.027128012678007647,130.20980314960633,124.65025159454471,88.39010479704795,0.4165833499966673,0.06963788300835655,0.019880000000000002,0.00944593034062818,43.98952,62.69211434502429,24.653068410462776,0.9205367498749792,3.399765173695616,4,1,20,GVEH
wrk\Subject_20_GVEH_4_rmexp.csv,2.2163342165341864,0.35,0.09833082706766917,0.11562102482039746,139.0236090225564,163.47913739738476,38.62193110567365,1.5497675348697695,0.24473684210526317,0.40232258064516135,0.4303540967969277,157.71175268817206,173.22557820930948,20.36790613641223,2.2496625506174075,0.35526315789473684,0.025785185185185185,0.020058206110545224,167.93597037037037,133.21780552318802,119.39370439528872,0.31661917379059806,0.049999999999999996,0.02078947368421053,0.010319011312128397,111.8825263157895,79.31931218440565,69.04118987341771,0.8977336645690948,3.4866260458826472,4,1,20,GVEH
wrk\Subject_20_GVE_0_rmexp.csv,1.9329467439845365,0.2997416020671835,0.10871551724137932,0.12439895539771549,104.80036206896551,156.34265668701912,25.371948378399807,1.7663134039858694,0.2739018087855297,0.3574905660377359,0.2807956097222715,145.90724528301885,170.86442198834587,20.039136749881248,2.2328867559821366,0.34625322997416025,0.03466417910447761,0.029467904126012454,227.3434253731343,192.1472847305396,156.4591575888052,0.5165633539958675,0.08010335917312662,0.024258064516129038,0.01076723746861353,122.66432258064518,155.89994387393452,72.56954920212765,0.9138026785297548,3.572365918278046,4,1,20,GVE
wrk\Subject_20_GVE_1_rmexp.csv,1.9995001249687578,0.297029702970297,0.12063333333333334,0.14731824583382588,120.46323333333335,170.24796432580007,29.56342877866814,1.5662750978921935,0.23267326732673269,0.37555319148936167,0.3523082432111052,153.40159574468086,165.63106315751173,21.5799203444564,2.366075147879697,0.35148514851485146,0.03762676056338028,0.03556775109105247,215.149661971831,168.17742464294554,146.2933374508703,0.7998000499875031,0.1188118811881188,0.025020833333333336,0.009982254219641752,97.29202083333332,74.37086337641733,62.95925978351373,0.911103241936828,3.4575295638803234,4,1,20,GVE
wrk\Subject_20_GVE_2_rmexp.csv,2.0499658339027684,0.3052109181141439,0.09739837398373982,0.0914204741115849,142.42070731707315,152.98311381313664,41.10246661101837,1.733304444925918,0.25806451612903225,0.3584519230769231,0.31903254836987827,194.15182692307692,179.07461097378476,26.50523809651546,2.283295278412026,0.3399503722084367,0.029948905109489055,0.03350984628540227,224.71630656934306,132.5043206400666,152.6513346331952,0.6499891668472193,0.09677419354838711,0.021025641025641032,0.00968606500898672,122.43633333333332,76.33351478379508,73.07606097560974,0.8898193752917638,3.400690421973992,4,1,20,GVE
wrk\Subject_20_GVE_3_rmexp.csv,1.6498350164983502,0.27808988764044945,0.07566666666666667,0.04351291460444517,219.40207070707072,197.84239390868748,70.77210532639165,1.6498350164983502,0.27808988764044945,0.4153535353535353,0.3612747160642428,239.97285858585857,175.4384545833845,30.212738521400773,2.24977502249775,0.3792134831460674,0.02408888888888889,0.024696518473083573,286.3824962962963,177.26646006297244,201.35751599015992,0.38329500383295007,0.0646067415730337,0.024782608695652183,0.010962213842337771,193.5228260869565,116.29253011400854,114.01690877192979,0.8885934077269317,3.461838625989831,4,1,20,GVE
wrk\Subject_20_GVE_4_rmexp.csv,1.8830508757019782,0.29894179894179895,0.10827433628318586,0.15308562285676744,140.9319203539823,163.50068037059822,37.31606554965263,1.716409205285874,0.2724867724867725,0.3685242718446602,0.36047209726416163,181.5263495145631,163.36651681821073,25.382531350439958,2.2496625506174075,0.35714285714285715,0.026785185185185183,0.023367082001439603,218.63491851851853,124.30593804916259,161.36625470132748,0.44993251012348157,0.07142857142857142,0.022666666666666672,0.009649409884086755,137.21303703703703,117.2029208217388,82.0722156862745,0.8673952572095349,3.4795515773462244,4,1,20,GVE
